"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 수원시 팔달구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 수원시 팔달구 인계동","1173","1173","0000","수원센트럴아이파크자이","59.9900","202512","31","67,400","114","15","개인","개인","2024","인계로 21","-","중개거래","경기 수원시 팔달구","26.03.12"
"2","경기도 수원시 팔달구 고등동","310","0310","0000","수원역푸르지오자이","74.9800","202512","31","75,000","132동","13","개인","개인","2021","고등로 15","-","중개거래","경기 수원시 팔달구","26.02.25"
"3","경기도 수원시 팔달구 매교동","300","0300","0000","매교역푸르지오SKVIEW","59.9400","202512","30","75,000","115","9","개인","개인","2023","인계로 20","-","중개거래","서울 동작구","26.04.08"
"4","경기도 수원시 팔달구 매교동","300","0300","0000","매교역푸르지오SKVIEW","59.9400","202512","30","75,000","-","9","개인","개인","2023","인계로 20","20260224","중개거래","서울 동작구","-"
"5","경기도 수원시 팔달구 매교동","292","0292","0000","힐스테이트푸르지오수원","59.9500","202512","30","72,000","101","12","개인","개인","2023","효원로93번길 33","-","중개거래","경기 수원시 팔달구, 경기 용인시 수지구","26.02.26"
"6","경기도 수원시 팔달구 매교동","300","0300","0000","매교역푸르지오SKVIEW","84.9700","202512","27","94,500","117","9","개인","개인","2023","인계로 20","-","중개거래","경기 수원시 팔달구","26.03.09"
"7","경기도 수원시 팔달구 화서동","761","0761","0000","수원화서역동문굿모닝힐","84.9960","202512","27","75,000","102","12","개인","개인","2010","화양로67번길 10","-","중개거래","경기 수원시 팔달구","26.03.03"
"8","경기도 수원시 팔달구 매교동","292","0292","0000","힐스테이트푸르지오수원","59.9500","202512","27","67,500","204","3","개인","개인","2023","효원로93번길 34","-","중개거래","경기 수원시 팔달구, 경기 화성시 동탄구","26.02.25"
"9","경기도 수원시 팔달구 인계동","1173","1173","0000","수원센트럴아이파크자이","59.9900","202512","27","67,900","114","19","개인","개인","2024","인계로 21","-","중개거래","경기 수원시 권선구, 경기 수원시 팔달구","26.03.06"
"10","경기도 수원시 팔달구 우만동","300","0300","0000","우만주공4단지","49.9400","202512","27","43,000","407","1","개인","개인","1992","창룡대로 194","-","중개거래","경기 수원시 팔달구","26.03.31"
