"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2020-01-01 ~ 2020-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 수원시 팔달구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 수원시 팔달구 우만동","28","0028","0000","우만주공1단지","47.2500","202012","31","45,000","-","2","-","-","1988","중부대로223번길 102","-","-","-","-"
"2","경기도 수원시 팔달구 화서동","646","0646","0000","화서주공3단지","84.7900","202012","31","55,000","-","7","-","-","1997","덕영대로697번길 47","-","-","-","-"
"3","경기도 수원시 팔달구 화서동","646","0646","0000","화서주공3단지","84.7900","202012","31","55,000","-","7","-","-","1997","덕영대로697번길 47","20210226","-","-","-"
"4","경기도 수원시 팔달구 화서동","650","0650","0000","화서주공4단지","59.9800","202012","31","53,800","-","11","-","-","1997","덕영대로697번길 48","-","-","-","-"
"5","경기도 수원시 팔달구 화서동","11-41","0011","0041","벽산아파트","63.7800","202012","31","17,800","-","10","-","-","1991","팔달로165번길 39","-","-","-","-"
"6","경기도 수원시 팔달구 화서동","11-11","0011","0011","성원쌍떼빌","59.5500","202012","31","23,000","-","2","-","-","2001","장안로5번길 45","-","-","-","-"
"7","경기도 수원시 팔달구 화서동","250-4","0250","0004","화서역블루밍푸른숲","59.4140","202012","30","49,000","-","9","-","-","2009","화양로50번길 30","-","-","-","-"
"8","경기도 수원시 팔달구 우만동","600","0600","0000","월드메르디앙","84.2370","202012","30","62,000","-","23","-","-","2004","권광로 373","-","-","-","-"
"9","경기도 수원시 팔달구 인계동","158-30","0158","0030","선경2","59.3350","202012","30","21,000","-","5","-","-","1994","권광로 318","-","-","-","-"
"10","경기도 수원시 팔달구 우만동","600","0600","0000","월드메르디앙","76.8990","202012","30","59,000","-","14","-","-","2004","권광로 373","-","-","-","-"
"11","경기도 수원시 팔달구 화서동","650","0650","0000","화서주공5단지","39.9900","202012","30","28,400","-","1","-","-","1997","덕영대로697번길 48","-","-","-","-"
"12","경기도 수원시 팔달구 화서동","220-3","0220","0003","영광","82.5200","202012","30","29,000","-","17","-","-","1993","덕영대로757번길 10","-","-","-","-"
"13","경기도 수원시 팔달구 화서동","11-41","0011","0041","벽산아파트","63.7800","202012","30","17,300","-","9","-","-","1991","팔달로165번길 39","-","-","-","-"
"14","경기도 수원시 팔달구 화서동","743","0743","0000","화서위브하늘채","59.9052","202012","30","48,500","-","19","-","-","2009","수성로244번길 25","-","-","-","-"
"15","경기도 수원시 팔달구 인계동","939-5","0939","0005","코스모골드","14.8770","202012","30","8,000","-","4","-","-","2014","장다리로 325","-","-","-","-"
"16","경기도 수원시 팔달구 지동","138-3","0138","0003","진우","59.9100","202012","29","18,900","-","12","-","-","1995","팔달문로 84","-","-","-","-"
"17","경기도 수원시 팔달구 화서동","713","0713","0000","꽃뫼버들마을엘지","84.9380","202012","29","50,000","-","5","-","-","2001","정자천로32번길 20","-","-","-","-"
"18","경기도 수원시 팔달구 매교동","142-1","0142","0001","연향예스빌","59.3320","202012","29","24,800","-","6","-","-","2004","정조로 687","-","-","-","-"
"19","경기도 수원시 팔달구 화서동","706","0706","0000","꽃뫼버들마을진흥","59.9600","202012","29","43,500","-","16","-","-","2002","화산로 57","-","-","-","-"
"20","경기도 수원시 팔달구 매산로1가","111-2","0111","0002","유엘비치나움","15.7985","202012","29","7,950","-","4","-","-","2014","팔달로 4-2","-","-","-","-"
"21","경기도 수원시 팔달구 인계동","158-30","0158","0030","선경2","59.3350","202012","29","23,200","-","6","-","-","1994","권광로 318","-","-","-","-"
"22","경기도 수원시 팔달구 우만동","85-3","0085","0003","우만R타워","19.1800","202012","29","10,000","-","9","-","-","2012","중부대로239번길 5","-","-","-","-"
"23","경기도 수원시 팔달구 우만동","600","0600","0000","월드메르디앙","76.8990","202012","29","56,800","-","17","-","-","2004","권광로 373","-","-","-","-"
"24","경기도 수원시 팔달구 화서동","674-1","0674","0001","꽃뫼마을풍림","59.9600","202012","29","30,000","-","2","-","-","1999","수성로157번길 75","-","-","-","-"
"25","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","15.8700","202012","28","12,900","-","8","-","-","2020","권광로124번길 13","-","-","-","-"
"26","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,550","-","8","-","-","2020","권광로124번길 13","-","-","-","-"
"27","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","19.1200","202012","28","15,100","-","12","-","-","2020","권광로124번길 13","-","-","-","-"
"28","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,000","-","8","-","-","2020","권광로124번길 13","-","-","-","-"
"29","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","15.8700","202012","28","13,200","-","10","-","-","2020","권광로124번길 13","-","-","-","-"
"30","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,300","-","10","-","-","2020","권광로124번길 13","-","-","-","-"
"31","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","19.1200","202012","28","14,500","-","8","-","-","2020","권광로124번길 13","-","-","-","-"
"32","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,800","-","11","-","-","2020","권광로124번길 13","-","-","-","-"
"33","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","19.1200","202012","28","14,700","-","8","-","-","2020","권광로124번길 13","-","-","-","-"
"34","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","15.8700","202012","28","13,650","-","7","-","-","2020","권광로124번길 13","-","-","-","-"
"35","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","19.1200","202012","28","14,300","-","7","-","-","2020","권광로124번길 13","-","-","-","-"
"36","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","15.8700","202012","28","13,150","-","9","-","-","2020","권광로124번길 13","-","-","-","-"
"37","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","15.8700","202012","28","13,150","-","8","-","-","2020","권광로124번길 13","-","-","-","-"
"38","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","15.8700","202012","28","12,950","-","7","-","-","2020","권광로124번길 13","-","-","-","-"
"39","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,550","-","9","-","-","2020","권광로124번길 13","-","-","-","-"
"40","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,300","-","8","-","-","2020","권광로124번길 13","-","-","-","-"
"41","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","19.1200","202012","28","15,100","-","12","-","-","2020","권광로124번길 13","-","-","-","-"
"42","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,550","-","8","-","-","2020","권광로124번길 13","-","-","-","-"
"43","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,500","-","11","-","-","2020","권광로124번길 13","-","-","-","-"
"44","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,300","-","8","-","-","2020","권광로124번길 13","-","-","-","-"
"45","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,950","-","12","-","-","2020","권광로124번길 13","-","-","-","-"
"46","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,150","-","7","-","-","2020","권광로124번길 13","-","-","-","-"
"47","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,800","-","11","-","-","2020","권광로124번길 13","-","-","-","-"
"48","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,650","-","10","-","-","2020","권광로124번길 13","-","-","-","-"
"49","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","19.1200","202012","28","14,700","-","8","-","-","2020","권광로124번길 13","-","-","-","-"
"50","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","19.1200","202012","28","14,800","-","10","-","-","2020","권광로124번길 13","-","-","-","-"
"51","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,250","-","9","-","-","2020","권광로124번길 13","-","-","-","-"
"52","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","18.5800","202012","28","14,150","-","7","-","-","2020","권광로124번길 13","-","-","-","-"
"53","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","19.1200","202012","28","14,800","-","10","-","-","2020","권광로124번길 13","-","-","-","-"
"54","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","19.1200","202012","28","14,700","-","9","-","-","2020","권광로124번길 13","-","-","-","-"
"55","경기도 수원시 팔달구 인계동","1132-18","1132","0018","테라스더아델라움","19.1200","202012","28","14,700","-","8","-","-","2020","권광로124번길 13","-","-","-","-"
