id,dealDate,dealYear,dealMonth,dealDay,sggCd,regionName,umdNm,jibun,aptNm,floor,excluUseAr,areaType,dealAmount,buildYear,dealType,updated_at,cdealType,cdealDay,cancelled,duplicate_count,group_cancelled,_resolved_type
1113,2026-03-25,2026,3,25,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,16.0,84.97,84타입,96000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1116,2026-03-18,2026,3,18,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,11.0,84.97,84타입,99000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1117,2026-03-17,2026,3,17,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,12.0,84.97,84타입,104000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1119,2026-03-07,2026,3,7,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,8.0,84.99,84타입,90000,2024,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1120,2026-03-07,2026,3,7,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,1.0,84.99,84타입,82500,2024,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1121,2026-03-05,2026,3,5,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,1.0,84.97,84타입,88000,2023,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
1122,2026-03-04,2026,3,4,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,11.0,84.99,84타입,87000,2024,미상,2026-08-30 03:07:16,,,False,2,False,중개거래
3413,2026-04-29,2026,4,29,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,14.0,84.97,84타입,105000,2023,미상,2026-08-31 02:46:23,,,False,2,False,중개거래
3418,2026-04-21,2026,4,21,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,5.0,84.99,84타입,65000,2024,미상,2026-08-31 02:46:23,,,False,2,False,중개거래
3420,2026-04-16,2026,4,16,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,3.0,84.97,84타입,94000,2023,미상,2026-08-31 02:46:23,,,False,2,False,중개거래
3424,2026-04-15,2026,4,15,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,16.0,84.99,84타입,89000,2024,미상,2026-08-31 02:46:23,,,False,2,False,중개거래
3426,2026-04-11,2026,4,11,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,5.0,84.97,84타입,96800,2023,미상,2026-08-31 02:46:23,,,False,2,False,중개거래
3429,2026-04-11,2026,4,11,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,19.0,84.99,84타입,89000,2024,미상,2026-08-31 02:46:23,,,False,2,False,중개거래
3430,2026-04-09,2026,4,9,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,7.0,84.97,84타입,99000,2023,미상,2026-08-31 02:46:23,,,False,2,False,중개거래
