id,dealDate,dealYear,dealMonth,dealDay,sggCd,regionName,umdNm,jibun,aptNm,floor,excluUseAr,areaType,dealAmount,buildYear,dealType,updated_at,cdealType,cdealDay,cancelled,duplicate_count,group_cancelled,is_sk,price,month,floor_tier,cell,days
14983,2024-08-18,2024,08,18,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,2.0,84.97,84타입,91000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.1,2024-08,1–5층,2024-08 / 1–5층,196
14977,2024-08-26,2024,08,26,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,3.0,84.97,84타입,92700,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.27,2024-08,1–5층,2024-08 / 1–5층,204
14967,2024-08-31,2024,08,31,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,10.0,84.97,84타입,99000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.9,2024-08,6–15층,2024-08 / 6–15층,209
14957,2024-09-08,2024,09,08,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,17.0,84.97,84타입,97000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.7,2024-09,16층 이상,2024-09 / 16층 이상,217
14941,2024-09-30,2024,09,30,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,5.0,84.97,84타입,90000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.0,2024-09,1–5층,2024-09 / 1–5층,239
14937,2024-10-04,2024,10,04,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,15.0,84.97,84타입,98000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.8,2024-10,6–15층,2024-10 / 6–15층,243
14916,2024-10-19,2024,10,19,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,5.0,84.97,84타입,94500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.45,2024-10,1–5층,2024-10 / 1–5층,258
14903,2024-11-02,2024,11,02,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,15.0,84.97,84타입,97900,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.79,2024-11,6–15층,2024-11 / 6–15층,272
14898,2024-11-09,2024,11,09,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,10.0,84.97,84타입,96500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.65,2024-11,6–15층,2024-11 / 6–15층,279
14885,2024-11-21,2024,11,21,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,7.0,84.97,84타입,94500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.45,2024-11,6–15층,2024-11 / 6–15층,291
15755,2025-02-16,2025,02,16,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,90000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.0,2025-02,6–15층,2025-02 / 6–15층,378
15751,2025-02-22,2025,02,22,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,17.0,84.97,84타입,87500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,8.75,2025-02,16층 이상,2025-02 / 16층 이상,384
15749,2025-02-27,2025,02,27,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,4.0,84.97,84타입,90000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.0,2025-02,1–5층,2025-02 / 1–5층,389
15746,2025-03-01,2025,03,01,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,15.0,84.97,84타입,93500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.35,2025-03,6–15층,2025-03 / 6–15층,391
15744,2025-03-03,2025,03,03,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,96500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.65,2025-03,6–15층,2025-03 / 6–15층,393
15741,2025-03-06,2025,03,06,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,8.0,84.97,84타입,98200,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.82,2025-03,6–15층,2025-03 / 6–15층,396
15732,2025-03-10,2025,03,10,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,7.0,84.99,84타입,85000,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.5,2025-03,6–15층,2025-03 / 6–15층,400
15700,2025-03-29,2025,03,29,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,12.0,84.97,84타입,94000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.4,2025-03,6–15층,2025-03 / 6–15층,419
15691,2025-04-01,2025,04,01,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,1.0,84.97,84타입,89000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,8.9,2025-04,1–5층,2025-04 / 1–5층,422
15684,2025-04-05,2025,04,05,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,7.0,84.97,84타입,92000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.2,2025-04,6–15층,2025-04 / 6–15층,426
15672,2025-04-16,2025,04,16,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,19.0,84.99,84타입,89000,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.9,2025-04,16층 이상,2025-04 / 16층 이상,437
15659,2025-04-25,2025,04,25,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,17.0,84.97,84타입,92700,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.27,2025-04,16층 이상,2025-04 / 16층 이상,446
15654,2025-04-28,2025,04,28,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,93000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.3,2025-04,6–15층,2025-04 / 6–15층,449
15635,2025-05-10,2025,05,10,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,2.0,84.97,84타입,86000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,8.6,2025-05,1–5층,2025-05 / 1–5층,461
15629,2025-05-16,2025,05,16,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,12.0,84.97,84타입,93300,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.33,2025-05,6–15층,2025-05 / 6–15층,467
15628,2025-05-17,2025,05,17,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,20.0,84.97,84타입,92000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.2,2025-05,16층 이상,2025-05 / 16층 이상,468
15625,2025-05-19,2025,05,19,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,4.0,84.97,84타입,90000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.0,2025-05,1–5층,2025-05 / 1–5층,470
15623,2025-05-21,2025,05,21,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,2.0,84.97,84타입,91000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.1,2025-05,1–5층,2025-05 / 1–5층,472
15609,2025-05-31,2025,05,31,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,12.0,84.99,84타입,88000,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.8,2025-05,6–15층,2025-05 / 6–15층,482
15600,2025-06-03,2025,06,03,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,14.0,84.97,84타입,93100,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.31,2025-06,6–15층,2025-06 / 6–15층,485
15584,2025-06-10,2025,06,10,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,8.0,84.99,84타입,92000,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,9.2,2025-06,6–15층,2025-06 / 6–15층,492
15578,2025-06-12,2025,06,12,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,93700,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.37,2025-06,6–15층,2025-06 / 6–15층,494
15569,2025-06-15,2025,06,15,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,15.0,84.97,84타입,94000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.4,2025-06,6–15층,2025-06 / 6–15층,497
15560,2025-06-17,2025,06,17,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,3.0,84.97,84타입,87000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,8.7,2025-06,1–5층,2025-06 / 1–5층,499
