aptNm,sggCd,regionName,umdNm,jibun,dealYear,dealMonth,dealDay,dealDate,dealAmount,excluUseAr,areaType,floor,buildYear,dealType,cdealDay,cdealType,source_file,source_row,source_no,source_sha256,building,registrationDate,id,updated_at,cancelled,duplicate_count,is_sk,price,month,floor_tier,cell,days
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,06,20,2024-06-20,94000,84.97,84타입,14.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,880,880,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,128,24.09.10,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:880,,False,1,1,9.4,2024-06,6–15층,2024-06 / 6–15층,137
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,06,22,2024-06-22,94000,84.97,84타입,13.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,863,863,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,139,24.09.02,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:863,,False,1,1,9.4,2024-06,6–15층,2024-06 / 6–15층,139
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,06,27,2024-06-27,85000,84.97,84타입,1.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,841,841,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,117,25.01.03,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:841,,False,1,1,8.5,2024-06,1–5층,2024-06 / 1–5층,144
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,06,28,2024-06-28,95000,84.97,84타입,12.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,833,833,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,138,24.10.23,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:833,,False,1,1,9.5,2024-06,6–15층,2024-06 / 6–15층,145
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,07,13,2024-07-13,93000,84.97,84타입,5.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,744,744,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,103,24.10.18,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:744,,False,1,1,9.3,2024-07,1–5층,2024-07 / 1–5층,160
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,07,27,2024-07-27,94500,84.97,84타입,7.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,637,637,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,138,24.08.30,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:637,,False,1,1,9.45,2024-07,6–15층,2024-07 / 6–15층,174
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,07,27,2024-07-27,95000,84.97,84타입,10.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,636,636,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,126,24.11.25,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:636,,False,1,1,9.5,2024-07,6–15층,2024-07 / 6–15층,174
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,07,28,2024-07-28,94000,84.97,84타입,10.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,633,633,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,102,24.11.05,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:633,,False,1,1,9.4,2024-07,6–15층,2024-07 / 6–15층,175
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,07,30,2024-07-30,98000,84.97,84타입,17.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,618,618,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,102,24.11.29,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:618,,False,1,1,9.8,2024-07,16층 이상,2024-07 / 16층 이상,177
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2024,08,03,2024-08-03,92000,84.97,84타입,4.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192327.csv,595,595,a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229,105,24.10.08,csv:a316a684635eb2cc4ddd9986a0a0dfc5a9bb77533db71d279d94f9e640101229:595,,False,1,1,9.2,2024-08,1–5층,2024-08 / 1–5층,181
