aptNm,sggCd,regionName,umdNm,jibun,dealYear,dealMonth,dealDay,dealDate,dealAmount,excluUseAr,areaType,floor,buildYear,dealType,cdealDay,cdealType,source_file,source_row,source_no,source_sha256,building,registrationDate,id,updated_at,cancelled,duplicate_count,is_sk,price,month,floor_tier,cell,days
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,06,13,2025-06-13,88900,84.99,84타입,14.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1201,1201,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,109,25.09.05,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1201,,False,1,0,8.89,2025-06,6–15층,2025-06 / 6–15층,495
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,06,15,2025-06-15,94000,84.97,84타입,15.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1185,1185,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,135,25.09.30,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1185,,False,1,1,9.4,2025-06,6–15층,2025-06 / 6–15층,497
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,06,22,2025-06-22,86500,84.99,84타입,11.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1110,1110,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,107,25.09.10,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1110,,False,1,0,8.65,2025-06,6–15층,2025-06 / 6–15층,504
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,06,25,2025-06-25,95000,84.97,84타입,11.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1081,1081,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,128,25.10.01,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1081,,False,1,1,9.5,2025-06,6–15층,2025-06 / 6–15층,507
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,06,28,2025-06-28,93500,84.97,84타입,10.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,1024,1024,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,139,25.10.02,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:1024,,False,1,1,9.35,2025-06,6–15층,2025-06 / 6–15층,510
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,07,04,2025-07-04,92800,84.97,84타입,8.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,974,974,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,133,25.11.07,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:974,,False,1,1,9.28,2025-07,6–15층,2025-07 / 6–15층,516
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,07,10,2025-07-10,93500,84.97,84타입,15.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,938,938,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,135,25.09.11,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:938,,False,1,1,9.35,2025-07,6–15층,2025-07 / 6–15층,522
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,07,12,2025-07-12,92200,84.97,84타입,13.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,928,928,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,117,25.11.05,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:928,,False,1,1,9.22,2025-07,6–15층,2025-07 / 6–15층,524
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,07,15,2025-07-15,93000,84.97,84타입,8.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,908,908,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,128,25.10.20,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:908,,False,1,1,9.3,2025-07,6–15층,2025-07 / 6–15층,527
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,07,31,2025-07-31,77700,84.99,84타입,15.0,2024,직거래,,,아파트(매매)_실거래가_20260906192334.csv,840,840,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,107,25.08.07,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:840,,False,1,0,7.77,2025-07,6–15층,2025-07 / 6–15층,543
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,08,09,2025-08-09,85000,84.99,84타입,4.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,808,808,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,111,25.10.20,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:808,,False,1,0,8.5,2025-08,1–5층,2025-08 / 1–5층,552
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,08,20,2025-08-20,90000,84.97,84타입,4.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,765,765,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,126,26.01.29,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:765,,False,1,1,9.0,2025-08,1–5층,2025-08 / 1–5층,563
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,08,20,2025-08-20,84500,84.99,84타입,3.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,762,762,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,102,26.01.16,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:762,,False,1,0,8.45,2025-08,1–5층,2025-08 / 1–5층,563
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,10,03,2025-10-03,85000,84.99,84타입,14.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,474,474,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,101,25.12.31,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:474,,False,1,0,8.5,2025-10,6–15층,2025-10 / 6–15층,607
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,10,11,2025-10-11,94500,84.97,84타입,13.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,436,436,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,128,26.01.19,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:436,,False,1,1,9.45,2025-10,6–15층,2025-10 / 6–15층,615
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,10,12,2025-10-12,94500,84.97,84타입,9.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,428,428,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,111,26.01.21,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:428,,False,1,1,9.45,2025-10,6–15층,2025-10 / 6–15층,616
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,10,15,2025-10-15,93500,84.97,84타입,10.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,377,377,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,127,25.12.10,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:377,,False,1,1,9.35,2025-10,6–15층,2025-10 / 6–15층,619
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,10,16,2025-10-16,95700,84.97,84타입,7.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,347,347,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,128,25.12.16,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:347,,False,1,1,9.57,2025-10,6–15층,2025-10 / 6–15층,620
